Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating,Path
The Haunting,(1999),"Biography,Crime,Drama","Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world.","https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg",1001526,https://www.imdb.com/title/tt1001526/,129 min,U,"58,913",6.5,Posters\1001526.jpg
Misery,(1990),"Drama,Thriller","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.","https://m.media-amazon.com/images/M/MV5BNzY0ODQ3MTMxN15BMl5BanBnXkFtZTgwMDkwNTg4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",100157,https://www.imdb.com/title/tt0100157/,107 min,A,"57,123",5.6,Posters\100157.jpg
The Little Things,(2021),"Crime,Drama,Mystery","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.","https://m.media-amazon.com/images/M/MV5BOGFlNTdmYWQtM2IzMi00YTY3LTlmMDQtZDI5NGQ5MjYzZmEwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",10016180,https://www.imdb.com/title/tt10016180/,128 min,A,"106,733",6.3,Posters\10016180.jpg
Drew Peterson: Untouchable,(2011),"Adventure,Comedy","Chronicles Jack Harris, one of the pioneers of Internet commerce, as he wrestles with his morals and struggles not to drown in a sea of con men, mobsters, drug addicts, and porn stars.","https://m.media-amazon.com/images/M/MV5BMDYyZDAxMzMtM2I5Ni00Y2U1LTgwZDQtZmNlYzc4YzI2NGVmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",100212,https://www.imdb.com/title/tt0100212/,97 min,U,"68,667",5.1,Posters\100212.jpg
Spun,(2022),"Comedy,Drama,Thriller","Tormented by his past, a garbage man named Clean attempts a quiet life of redemption. But, soon finds himself forced to reconcile with the violence of his past.","https://m.media-amazon.com/images/M/MV5BZGZiODYxNDktMWIzZi00ZGMwLWI2NGYtYWYyMzU5MThmMzExXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_UX67_CR0,0,67,98_AL_.jpg",10023022,https://www.imdb.com/title/tt10023022/,95 min,16,"595,214",8.0,Posters\10023022.jpg
Red Dot,(2011),"Drama,Romance","A mother falls into an addictive relationship with a Russian diplomat, with whom she has nothing in common.","https://m.media-amazon.com/images/M/MV5BZTI3NzExOWQtNzk4MS00YjU3LThhMjctNzliNDNhMjA2NjYzXkEyXkFqcGdeQXVyNTQwMDA5NTg@._V1_UY98_CR0,0,67,98_AL_.jpg",10023172,https://www.imdb.com/title/tt10023172/,108 min,18,"1,911",7.1,Posters\10023172.jpg
The NeverEnding Story II: The Next Chapter,(1990),"Adventure,Drama,Family",A young boy with a distant father enters a world of make-believe and magic through a portal within an antique book.,"https://m.media-amazon.com/images/M/MV5BNTZkNzNkMDYtYTIxYS00YjA4LWJkYmQtMTA0Njg0YjJmYmQ2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",100240,https://www.imdb.com/title/tt0100240/,100 min,R,"42,240",7.8,Posters\100240.jpg
Night of the Living Dead,(1990),Horror,"When the unburied dead return to life and seek human victims, seven refugees shelter in a house in the Pennsylvanian countryside.","https://m.media-amazon.com/images/M/MV5BNzYxZTE2ZWYtMGYxNS00OTFlLTkyYmMtYzVkZjI0ZTdmYzdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",100258,https://www.imdb.com/title/tt0100258/,92 min,A,"43,292",6.8,Posters\100258.jpg
Lucky Day,(I) (2019),"Action,Comedy,Crime","A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy.","https://m.media-amazon.com/images/M/MV5BYWI4MTVlM2UtNTEzZC00MjdiLWE4ZjItNTZmM2U2NjUzNzI1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",100260,https://www.imdb.com/title/tt0100260/,102 min,Not Rated,"24,245",6.5,Posters\100260.jpg
Vampires,(2010),"Action,Crime,Drama","Convicted felon, Nikita, isn't going to jail; she's given a new identity and trained, stylishly, as a top secret spy/assassin.","https://m.media-amazon.com/images/M/MV5BMTEyNjc4MTgtN2YxMS00ZGM5LTk2NjEtOGRhNDY5OWM5ZTQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",100263,https://www.imdb.com/title/tt0100263/,60 min,PG-13,"2,661",7.5,Posters\100263.jpg
Kicking and Screaming,(2015–2018),"Animation,Adventure,Comedy","A couple work hard to renovate their dream house and become landlords to pay for it. Unfortunately, one of their tenants has plans of his own.","https://m.media-amazon.com/images/M/MV5BMzJhZmNhNmQtODEwZS00N2NlLWE1YjAtYmIxZjkwMzNjNTA5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",100318,https://www.imdb.com/title/tt0100318/,102 min,15+,"34,740",7.5,Posters\100318.jpg
The Hundred-Foot Journey,(2022),"Animation,Adventure,Comedy",A girl living with schizophrenia struggles with terrifying hallucinations as she begins to suspect her neighbor has kidnapped a child. The only person who believes her is Caleb - a boy she isn't even sure exists.,"https://m.media-amazon.com/images/M/MV5BNjMyYmRiYmEtMjVjOC00ZGU2LThkZWEtOWIyYWQzMWZkODg3XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX67_CR0,0,67,98_AL_.jpg",10037014,https://www.imdb.com/title/tt10037014/,109 min,R,"25,431",6.4,Posters\10037014.jpg
A Futile and Stupid Gesture,(2018),"Action,Crime,Drama","When a nurse downloads an app that claims to predict the moment a person will die, it tells her she only has three days to live. With the clock ticking and a figure haunting her, she must find a way to save her life before time runs out.","https://m.media-amazon.com/images/M/MV5BODY3OGEyMTgtYTZjZi00Y2YzLWFjY2UtMjEwYWE1MjRkOTc4XkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_UX67_CR0,0,67,98_AL_.jpg",10039344,https://www.imdb.com/title/tt10039344/,60 min,U,"321,035",6.6,Posters\10039344.jpg
Son of Rambow,(2007),"Biography,Drama,History","The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles.","https://m.media-amazon.com/images/M/MV5BNThjZjI4NTgtZDk4Mi00ZjI1LWExZGUtNTRkOWY1ZTY3M2FlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",100403,https://www.imdb.com/title/tt0100403/,112 min,A,"89,861",6.2,Posters\100403.jpg
The Devil You Know,(III) (2022),Thriller,"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else.","https://m.media-amazon.com/images/M/MV5BMjhjYTE5ZjAtYmQ2OS00ZDk2LWFlMzMtODViNDk4NTIyZGY0XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",100404,https://www.imdb.com/title/tt0100404/,160 min,PG-13,"7,026",5.5,Posters\100404.jpg
Pretty Woman,(1990),"Comedy,Romance","A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.","https://m.media-amazon.com/images/M/MV5BNjk2ODQzNDYxNV5BMl5BanBnXkFtZTgwMTcyNDg4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",100405,https://www.imdb.com/title/tt0100405/,119 min,A,"152,597",6.2,Posters\100405.jpg
Book of Love,(2022),"Comedy,Romance",TV Morning Show host and chef Billie Blessings solves mysteries.,"https://m.media-amazon.com/images/M/MV5BZWE1MWVmOTMtNzhiMC00ZTQ3LWIyNGQtMjU4Y2JkNGJjODdlXkEyXkFqcGdeQXVyNzc2NTMwNzQ@._V1_UX67_CR0,0,67,98_AL_.jpg",10044448,https://www.imdb.com/title/tt10044448/,120 min,A,"16,643",7.3,Posters\10044448.jpg
With Honors,(1994),"Comedy,Drama","Three thieves successfully rob a New York City bank, but making the escape from the city proves to be almost impossible.","https://m.media-amazon.com/images/M/MV5BMmNiNzRiMDAtNjg0Yi00NGM3LWFiMjItOTQ0ZjNkYTE4MGM5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",100449,https://www.imdb.com/title/tt0100449/,89 min,UA,"21,137",6.8,Posters\100449.jpg
Days Gone,(2019 Video Game),"Action,Adventure,Drama",R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.,"https://m.media-amazon.com/images/M/MV5BNjY1OWZkMjQtMDY0YS00ZGRiLTg1YjktMzlmZWQyZWMzZGI1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",100477,https://www.imdb.com/title/tt0100477/,77 min,12+,"2,492",6.8,Posters\100477.jpg
No Sudden Move,(2021),"Crime,Drama,Mystery","Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","https://m.media-amazon.com/images/M/MV5BM2EwMmRhMmUtMzBmMS00ZDQ3LTg4OGEtNjlkODk3ZTMxMmJlXkEyXkFqcGdeQXVyMjM5ODk1NDU@._V1_UX67_CR0,0,67,98_AL_.jpg",10048342,https://www.imdb.com/title/tt10048342/,60 min,18,"460,773",8.6,Posters\10048342.jpg
Infinite Storm,(2022),"Drama,Thriller","Wealthy Sunny von Bülow lies brain-dead, husband Claus guilty of attempted murder; but he says he's innocent and hires Alan Dershowitz for his appeal.","https://m.media-amazon.com/images/M/MV5BMTQ3MTY0NDM3OV5BMl5BanBnXkFtZTgwMDY1NTk4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",100486,https://www.imdb.com/title/tt0100486/,111 min,UA,"17,151",7.2,Posters\100486.jpg
Don't Pick Up the Phone,(1990),"Action,Crime,Sci-Fi","RoboCop returns to protect the citizens of old Detroit but faces a deadly challenge when a rogue OCP member secretly creates a new, evil RoboCop 2.","https://m.media-amazon.com/images/M/MV5BZWQ1YjQ3ZTAtN2VlMC00YTllLTk3ZmEtNDlmNzg4ZGM1ODhjXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_UX67_CR0,0,67,98_AL_.jpg",100502,https://www.imdb.com/title/tt0100502/,117 min,A,"121,528",6.9,Posters\100502.jpg
Rocky V,(1990),"Drama,Sport","Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success.","https://m.media-amazon.com/images/M/MV5BMTM2Mzc4MTYxM15BMl5BanBnXkFtZTcwODY5NTk1NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",100507,https://www.imdb.com/title/tt0100507/,121 min,16,"18,994",7.5,Posters\100507.jpg
The Ottoman Lieutenant,(2017),"Drama,War",A veteran detective is assigned a rookie partner after his previous partner is killed by a car theft gang. He is determined to apprehend those responsible for his friend's death but his new partner isn't really up to the task.,"https://m.media-amazon.com/images/M/MV5BOGE2ZjQ3MmUtM2ZkNS00MjAxLTg1NzktNmVjNzZiMmU0MDU4XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY98_CR3,0,67,98_AL_.jpg",100514,https://www.imdb.com/title/tt0100514/,103 min,R,"3,903",6.4,Posters\100514.jpg
Invader ZIM,(2001–2006),"Animation,Action,Adventure",An expatriate British publisher unexpectedly finds himself working for British intelligence to investigate people in Russia.,"https://m.media-amazon.com/images/M/MV5BMTM4NDAxMjQ5M15BMl5BanBnXkFtZTcwMzI0NzI5NA@@._V1_UX67_CR0,0,67,98_AL_.jpg",100530,https://www.imdb.com/title/tt0100530/,89 min,R,"28,760",6.1,Posters\100530.jpg
The Commuter,(I) (2020),"Action,Thriller","After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.","https://m.media-amazon.com/images/M/MV5BYjc1Mjg5NjItY2I2MS00NDk3LWI5NGYtNzZjNTNiZmMwZTA3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX67_CR0,0,67,98_AL_.jpg",10059518,https://www.imdb.com/title/tt10059518/,119 min,UA 13+,"49,161",8.4,Posters\10059518.jpg
R.L. Stine's The Haunting Hour,(2010–2014),"Action,Adventure,Comedy","When electrocuted by the fuse box at home, Graham gets ideas concerning his nagging wife and the guy, who got Graham's promotion at the office.","https://m.media-amazon.com/images/M/MV5BYzhhYTJjMzUtMjFkOS00NmUzLWI4NjEtZmZlZDE1MzIyYmMwXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UX67_CR0,0,67,98_AL_.jpg",100602,https://www.imdb.com/title/tt0100602/,50 min,A,"25,890",8.8,Posters\100602.jpg
Legally Blonde,(2001),"Comedy,Romance","The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","https://m.media-amazon.com/images/M/MV5BZTY5ZmMwMDQtMmYxYy00ZTYyLWE5MDItZGUwM2I5NTAwOGUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",10062292,https://www.imdb.com/title/tt10062292/,113 min,U,"11,575",6.9,Posters\10062292.jpg
Elvis & Nixon,(2002),"Comedy,Family,Fantasy",A 50-year-old caretaker is employed to look after 10-year-old girl. His most important task is to maintain her dentures that are made of ice and must be changed several times a day.,"https://m.media-amazon.com/images/M/MV5BZDM1ODdiYWYtMGY0ZS00NTczLTg4NzQtYzExZjExNGIzZjBiXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",10062338,https://www.imdb.com/title/tt10062338/,114 min,R,"65,183",5.5,Posters\10062338.jpg
The Life of David Gale,(2003),"Action,Comedy,Sport",A developer attempts to sabotage the safety record of a ski resort.,"https://m.media-amazon.com/images/M/MV5BNTUwNDQ0ZDAtNjAxYi00NDY3LWE0OGEtMzU4MjIwYTU1MDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",100631,https://www.imdb.com/title/tt0100631/,91 min,16,"113,549",6.2,Posters\100631.jpg
Mission: Impossible,(1996),"Action,Adventure,Thriller",Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.,"https://m.media-amazon.com/images/M/MV5BOTQzYWU3NzktOGQyOC00NGNiLWE3NjAtNzQ0YzRkOTc5ODUzXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX67_CR0,0,67,98_AL_.jpg",10065694,https://www.imdb.com/title/tt10065694/,92 min,16,"11,275",6.9,Posters\10065694.jpg
Never Hike Alone,(2017),"Horror,Thriller",A New York cop is recruited to return to his hometown and infiltrate the mob ran by his best friend's brother.,"https://m.media-amazon.com/images/M/MV5BNTQ3Yjk5MmUtYmZmMi00NzkwLWI2MmUtNjJhZWJhMzBhNTllXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",100685,https://www.imdb.com/title/tt0100685/,106 min,UA 16+,"644,451",7.7,Posters\100685.jpg
"As Above, So Below",(2014),"Horror,Mystery,Thriller","Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.","https://m.media-amazon.com/images/M/MV5BY2I1N2Y0ODEtNzZmZS00NzBjLWFkZjEtMTVkOTY1Y2UzZGE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1007028,https://www.imdb.com/title/tt1007028/,-,R,"17,425",6.9,Posters\1007028.jpg
The Iron Lady,(2011),"Biography,Drama","An elderly Margaret Thatcher talks to the imagined presence of her recently deceased husband as she struggles to come to terms with his death while scenes from her past life, from girlhood to British prime minister, intervene.","https://m.media-amazon.com/images/M/MV5BODEzNDUyMDE3NF5BMl5BanBnXkFtZTcwMTgzOTg3Ng@@._V1_UX67_CR0,0,67,98_AL_.jpg",1007029,https://www.imdb.com/title/tt1007029/,105 min,U,"110,504",6.4,Posters\1007029.jpg
Star Wars: Resistance,(1997–2001),"Animation,Adventure,Comedy","To stall a witch plotting to eat him, a boy reads her horror tales dealing with a collegian's resurrection of a mummy, a murderous cat, and an artist's pact with a gargoyle.","https://m.media-amazon.com/images/M/MV5BODI4ZTI1ZjMtYmE5MC00NTM5LTgwMDgtNWI1ZTI1MDYyOGYyXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX67_CR0,0,67,98_AL_.jpg",100740,https://www.imdb.com/title/tt0100740/,99 min,PG-13,535,7.0,Posters\100740.jpg
Teenage Mutant Ninja Turtles,(1990),"Action,Adventure,Comedy",Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,"https://m.media-amazon.com/images/M/MV5BNzg3NTQ4NDk5NV5BMl5BanBnXkFtZTgwNzMzNDg4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",100758,https://www.imdb.com/title/tt0100758/,93 min,U,"96,016",6.7,Posters\100758.jpg
Drzavni sluzbenik,(2019– ),"Action,Crime,Drama","A young, ambitious Serbian Secret Service agent negotiates the dangerous rules of the modern century international spy game.","https://m.media-amazon.com/images/M/MV5BMTUwZDAwM2YtNDI0Yy00NzAwLTlkYzgtOGFjMzgzOTE0MDQxXkEyXkFqcGdeQXVyMzA3MjgxNzU@._V1_UY98_CR40,0,67,98_AL_.jpg",10078462,https://www.imdb.com/title/tt10078462/,30 min,18,"4,819",6.9,Posters\10078462.jpg
Ad Astra,(2019),"Adventure,Drama,Mystery","When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?","https://m.media-amazon.com/images/M/MV5BYzU1YmJjMGEtMjY4Yy00MTFlLWE3NTUtNzI3YjkwZTMxZjZmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",100802,https://www.imdb.com/title/tt0100802/,113 min,U,"334,968",5.5,Posters\100802.jpg
Sandy Wexler,(2017),Comedy,The treasure seeking adventures of young Jim Hawkins and pirate Captain Long John Silver.,"https://m.media-amazon.com/images/M/MV5BZjEzZmVhOGEtNTMxMy00YmE4LTk1YzQtMjcxMWI1ZDc2MWJiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",100813,https://www.imdb.com/title/tt0100813/,122 min,R,"15,822",5.7,Posters\100813.jpg
The Master,(2012),Drama,Natives of a small isolated town defend themselves against strange underground creatures which are killing them one by one.,"https://m.media-amazon.com/images/M/MV5BMTEzNjkwMzIyMjZeQTJeQWpwZ15BbWU4MDI2NTU5ODYx._V1_UX67_CR0,0,67,98_AL_.jpg",100814,https://www.imdb.com/title/tt0100814/,96 min,UA,"140,843",5.3,Posters\100814.jpg
The Last Witch Hunter,(2015),"Crime,Drama,Mystery","The sequel to Chinatown (1974) finds J.J. ""Jake"" Gittes investigating adultery and murder, and the money that comes from oil.","https://m.media-amazon.com/images/M/MV5BMTQ5NjJjNDMtOTg2Zi00Y2Q3LWJhNDMtZTRkODdiYmNhZmJiXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_UX67_CR0,0,67,98_AL_.jpg",100828,https://www.imdb.com/title/tt0100828/,121 min,R,"8,651",6.3,Posters\100828.jpg
Wild at Heart,(1990),"Comedy,Crime,Drama",Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,"https://m.media-amazon.com/images/M/MV5BMjAxYmJhMTMtNmZlZi00ZWJlLTlmMjctOTg5ZTg4MzZmOWM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",100935,https://www.imdb.com/title/tt0100935/,125 min,18,"95,085",6.8,Posters\100935.jpg
The Larkins,(2021–2022),"Comedy,Drama","A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.","https://m.media-amazon.com/images/M/MV5BMjI1MDg5NzAyMV5BMl5BanBnXkFtZTgwNzU5Mzk4NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",100944,https://www.imdb.com/title/tt0100944/,91 min,U,"487,974",7.5,Posters\100944.jpg
Dronningen,(2019),Drama,"A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power.","https://m.media-amazon.com/images/M/MV5BMzM0YWNmMDEtNmI3Yy00NjQ4LWJlZjMtMzk2YjUxOThhZGQxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",10095582,https://www.imdb.com/title/tt10095582/,98 min,UA,"196,385",6.2,Posters\10095582.jpg
Rush,(2014),"Action,Drama","The show will explore the facts behind the world's most fascinating, strange and inexplicable mysteries.","https://m.media-amazon.com/images/M/MV5BODc2ZWZjMTItN2E4NC00NzA1LWIwMzItNTliMTJjZDVjYTVhXkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg",10098498,https://www.imdb.com/title/tt10098498/,97 min,13,"283,518",7.5,Posters\10098498.jpg
Feel Good,(2020–2021),"Comedy,Drama,Romance","The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviors and intense romanticism that permeate every facet of her life.","https://m.media-amazon.com/images/M/MV5BYWU0NDJkNzMtYTMwNy00YjM5LTkzOTctMTBlYTI0M2UxMzk5XkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_UX67_CR0,0,67,98_AL_.jpg",10098620,https://www.imdb.com/title/tt10098620/,30 min,18,"11,683",7.5,Posters\10098620.jpg
Joy Ride,(2001),"Action,Mystery,Thriller","""'Our House"""" tells the story of Fi Lawson, who arrives home one day to find a family of strangers moving into her house--and that her husband Bram has disappeared.","https://m.media-amazon.com/images/M/MV5BYmUxNGI5NWUtYTk1MC00MzFiLTkyNzktZmM0MzAyM2U5YWRiXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",10098728,https://www.imdb.com/title/tt10098728/,45 min,18,"6,828",7.0,Posters\10098728.jpg
Happily Never After,(2022 TV Movie),Thriller,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.,"https://m.media-amazon.com/images/M/MV5BZWY3NDU0ZWUtMDdlYS00NmIwLTg4YjktN2M4YzAxOGZjNmI0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",100998,https://www.imdb.com/title/tt0100998/,119 min,R,"66,888",5.0,Posters\100998.jpg
